x_p,delta_V
0.3282492269,-0.0048408992
0.3283457794,-0.0048312521
0.3284423319,-0.0048214092
0.3285388844,-0.0048113695
0.3286354369,-0.0048013282
0.3287319894,-0.0047911044
0.3288285419,-0.0047806973
0.3289250944,-0.0047701060
0.3290216468,-0.0047593297
0.3291181993,-0.0047483675
0.3292147518,-0.0047372186
0.3293113043,-0.0047258821
0.3294078568,-0.0047143573
0.3295044093,-0.0047026432
0.3296009618,-0.0046907391
0.3296975143,-0.0046786440
0.3297940668,-0.0046663571
0.3298906193,-0.0046538776
0.3299871717,-0.0046412046
0.3300837242,-0.0046283374
0.3301802767,-0.0046152750
0.3302768292,-0.0046020166
0.3303733817,-0.0045885613
0.3304699341,-0.0045749084
0.3305664866,-0.0045610569
0.3306630391,-0.0045470060
0.3307595916,-0.0045327549
0.3308561440,-0.0045183028
0.3309526965,-0.0045036488
0.3310492490,-0.0044887920
0.3311458014,-0.0044737316
0.3312423539,-0.0044584667
0.3313389063,-0.0044429966
0.3314354588,-0.0044273203
0.3315320113,-0.0044114371
0.3316285637,-0.0043953460
0.3317251162,-0.0043790463
0.3318216686,-0.0043625830
0.3319182211,-0.0043459759
0.3320147735,-0.0043291674
0.3321113259,-0.0043121567
0.3322078784,-0.0042949433
0.3323044308,-0.0042775268
0.3324009833,-0.0042599064
0.3324975357,-0.0042420816
0.3325940881,-0.0042240519
0.3326906405,-0.0042058167
0.3327871930,-0.0041873754
0.3328837454,-0.0041687275
0.3329802978,-0.0041498724
0.3330768502,-0.0041308095
0.3331734026,-0.0041115382
0.3332699551,-0.0040920580
0.3333665075,-0.0040723683
0.3334630599,-0.0040524686
0.3335596123,-0.0040323582
0.3336561647,-0.0040120367
0.3337527171,-0.0039915033
0.3338492695,-0.0039707577
0.3339458218,-0.0039497992
0.3340423742,-0.0039286272
0.3341389266,-0.0039072411
0.3342354790,-0.0038856405
0.3343320314,-0.0038638247
0.3344285838,-0.0038417931
0.3345251361,-0.0038195453
0.3346216885,-0.0037970805
0.3347182409,-0.0037743983
0.3348147932,-0.0037514982
0.3349113456,-0.0037283794
0.3350078979,-0.0037050415
0.3351044503,-0.0036811630
0.3352010026,-0.0036570169
0.3352975550,-0.0036326532
0.3353941073,-0.0036080735
0.3354906596,-0.0035832791
0.3355872120,-0.0035582714
0.3356837643,-0.0035330518
0.3357803166,-0.0035076216
0.3358768689,-0.0034819823
0.3359734213,-0.0034561352
0.3360699736,-0.0034300816
0.3361665259,-0.0034038230
0.3362630782,-0.0033773608
0.3363596305,-0.0033506963
0.3364561828,-0.0033238310
0.3365527351,-0.0032967661
0.3366492874,-0.0032695031
0.3367458397,-0.0032420433
0.3368423920,-0.0032143882
0.3369389442,-0.0031865391
0.3370354965,-0.0031584974
0.3371320488,-0.0031302645
0.3372286011,-0.0031018417
